Year,Africa,Asia,Australia,Europe,North America,South America
1852,21.085245901639347,17.185242248062018,20.1885,7.988847826086957,22.306672043010753,23.634010416666666
1853,22.683619834710743,17.42086046511628,14.92125,7.423396739130435,22.392397849462366,23.69775
1854,23.08757553956835,17.2678046875,14.252857142857144,7.61073731884058,22.346922043010753,23.707739583333336
1855,23.342480263157896,17.73910095238095,15.087391304347825,6.985974637681159,22.440607526881724,21.41516535433071
1856,24.351911184210525,17.09770428015564,15.325083333333334,7.3681086956521735,22.601051075268817,20.978560606060608
1857,22.923891625615763,16.08220299145299,15.4838,7.7953442028985505,22.097174731182793,20.925204545454545
1858,23.390181395348836,17.121806250000002,17.55613888888889,7.316402173913043,22.22195430107527,20.98243181818182
1859,23.43864312267658,17.29410438413361,17.761694444444444,8.217882246376812,22.246104838709677,21.251439393939393
1860,23.5636,16.992910416666668,17.68122857142857,7.229990942028985,22.26114247311828,21.147871212121213
1861,23.264803493449783,16.802987780040734,18.03436111111111,7.723090579710145,22.4905,21.01428787878788
1862,22.75551369863014,14.522703412073492,17.650685714285714,7.6375126811594205,22.322317204301076,20.867068181818183
1863,22.482105263157894,16.419062084257206,17.638444444444445,8.46630615942029,22.414247311827957,20.933689393939392
1864,23.016204954954954,16.506447368421053,17.925805555555556,6.945230072463768,22.3066935483871,21.066530303030305
1865,22.67277625570776,17.46027855711423,17.948666666666668,7.725315217391304,22.557610215053764,21.298575757575758
1866,21.47256886227545,17.707113636363637,18.21488888888889,7.984233695652173,22.305801075268818,21.26190780141844
1867,20.549939393939393,17.90897338403042,22.847252336448598,7.395675724637681,22.585827956989245,21.362111111111112
1868,22.380886363636364,17.761325757575758,20.94305633802817,8.322447463768116,22.531505376344086,21.371381944444447
1869,22.567528301886792,17.871453333333335,22.52571875,7.930923913043478,22.91986290322581,21.504065693430658
1870,22.665886363636364,17.778714814814812,21.510625,7.121570652173913,22.505860215053765,21.197931818181818
1871,20.14584090909091,17.639116883116884,22.766537037037036,6.823956521739131,22.573102150537633,21.11639393939394
1872,20.223136363636364,17.920887037037037,22.470881720430107,8.548733695652174,22.717306451612902,21.21087878787879
1873,23.684127272727274,18.016192592592592,22.12791011235955,8.06809420289855,22.398532258064517,21.352943262411348
1874,23.630150943396227,17.876365491651207,21.40609090909091,7.657594202898551,22.498483870967743,20.971538461538465
1875,23.266825,17.78884239130435,21.63383333333333,6.994514492753623,22.416663978494622,20.71377083333333
1876,23.350824468085104,18.077328014184395,22.130963855421687,7.595885869565217,22.56162634408602,21.204348484848484
1877,23.835386054421768,18.396152482269503,19.20059523809524,7.570019927536231,22.946465053763443,21.848666666666666
1878,23.994488095238097,18.56996808510638,20.295787234042553,7.972041666666667,23.237932795698924,21.685015151515152
1879,23.465830917874396,18.41530837789661,19.7241875,7.059195652173913,22.54022311827957,21.170613636363637
1880,23.56993169877408,17.990047872340426,20.078895833333334,7.6946902173913045,22.38815053763441,20.944424460431655
1881,23.835659003831417,18.314296099290782,20.138229166666665,7.066900362318841,22.524559139784948,21.190230263157893
1882,23.44853846153846,17.951787234042555,21.763833333333334,7.987699275362319,22.318548387096776,20.895352564102566
1883,23.512040384615386,18.035629432624113,23.253729166666666,7.47981884057971,22.3154623655914,20.84498717948718
1884,23.16489357429719,17.686583333333335,22.927125,7.674003623188407,22.110080645161293,20.795584415584415
1885,22.97925879917184,17.987836879432624,22.97074820143885,7.538362318840581,22.443155913978494,19.86674074074074
1886,23.324827977315692,17.88274290780142,23.138548611111112,7.661672101449276,22.199067204301073,20.761538461538464
1887,23.157979166666667,18.04954964539007,23.109861111111112,7.31154347826087,22.037631720430106,20.939407894736842
1888,23.29631106870229,18.413390070921984,22.212809523809522,6.737355072463768,22.349717741935482,21.211479729729728
1889,23.551516666666668,18.287750000000003,22.519084337349398,7.351871376811594,22.670879032258068,21.23087121212121
1890,23.127110924369745,18.193982269503547,23.36145512820513,7.514288043478261,22.136177419354837,20.785590909090907
1891,23.357703333333333,18.095113475177307,23.391410256410257,7.349472826086957,22.593190860215053,21.066884615384616
1892,23.53964,18.169978723404256,23.479211538461538,7.374530797101449,22.383333333333333,20.870660256410254
1893,23.483556666666665,17.90552304964539,23.53149358974359,7.352498188405797,22.318260752688172,20.71074358974359
1894,23.482465,17.980225177304963,23.445666666666668,7.835677536231884,22.29520430107527,20.93271153846154
1895,23.664851666666667,18.07317021276596,23.47851923076923,7.485067028985506,22.499567204301076,21.283
